id,cardId
147,ecard2-H4
148,pop6-4
149,ex3-4
150,sm115-3
151,sm3-2
152,pl4-2
153,det1-4
154,gym2-3
155,si1-3
156,col1-3
157,ex12-4
158,base3-4
159,pop1-2
160,dpp-DP02
161,hgss1-4
162,sm2-2
163,neo4-2
164,ex4-2
165,xy1-2
166,sm9-4
167,ex9-3
168,dv1-4
169,xy7-3
170,hgss4-4
171,bw10-3
172,bw4-2
173,xy11-3
174,pop9-2
175,sm5-2
176,ex13-3
177,swsh1-2
178,sm75-1
179,bw6-1
180,ex10-1
181,pop9-3
182,ru1-4
183,ex7-4
184,pop3-3
185,gym2-4
186,neo3-2
187,sm12-3
188,ecard2-H5
189,si1-4
190,ex11-5
191,bw7-3
192,pl3-4
193,basep-2
194,xy7-4
195,bw11-3
196,hgss1-5
197,xy11-4
198,mcd19-5
199,pl1-5
200,swsh4-2
201,ex12-5
202,pop1-3
203,sm8-2
204,sm9-5
205,pop4-3
206,xy5-4
207,pl4-3
208,ex4-3
209,base6-3
210,bw5-3
211,sm75-2
212,ex3-5
213,bw1-3
214,sm5-3
215,base3-5
216,bw4-3
217,swsh35-4
218,dv1-5
219,ex8-3
220,pop7-4
221,xy4-3
222,bw10-4
223,dp1-3
224,ex9-4
225,bw6-2
226,dp4-3
227,dp3-5
228,ex10-2
229,hgss4-5
230,swsh1-3
231,neo4-3
232,hgss2-2
233,dpp-DP03
234,xy10-2
235,sm115-4
236,base1-2
237,sm3-3
238,xy2-5
239,det1-5
240,ex14-2
241,xy1-3
242,ex9-5
243,sm5-4
244,base5-3
245,dp4-4
246,dpp-DP04
247,bw11-4
248,pop7-5
249,hgss2-3
250,pop4-4
251,bw7-4
252,bw4-4
253,base3-6
254,swsh1-4
255,dp1-4
256,bw8-3
257,neo3-3
258,pl1-6
259,base6-4
260,det1-6
261,basep-3
262,sm9-6
263,xy5-5
264,sm8-3
265,xy10-3
266,ex11-6
267,swsh35-5
268,base1-3
269,pop6-5
270,hgss4-6
271,neo4-4
272,bw6-3
273,sm2-3
274,ru1-5
275,dp3-6
276,pl4-4
277,ex10-3
278,sm12-4
279,bw10-5
280,xy2-6
281,pop9-4
282,ex14-3
283,pop1-4
284,sm115-5
285,dv1-6
286,ex12-6
287,ecard2-H6
288,ex7-5
289,ex4-4
290,sm75-3
291,ex8-4
292,hgss1-6
293,xy11-5
294,si1-5
295,mcd19-6
296,bw9-2
297,pop3-4
298,ex10-4
299,ex9-6
300,bw1-4
301,pop4-5
302,xy2-7
303,base3-7
304,xy5-6
305,ex13-4
306,pop1-5
307,hgss2-4
308,sm115-6
309,neo4-5
310,pop5-3
311,mcd19-7
312,hgss1-7
313,sm5-5
314,xy1-4
315,hgss4-7
316,xy11-6
317,ex12-7
318,ex4-5
319,xy10-4
320,xy7-5
321,bw9-3
322,base5-4
323,pl4-5
324,bw10-6
325,sm8-4
326,neo3-4
327,base1-4
328,gym2-5
329,bw11-5
330,basep-4
331,sm1-3
332,pl3-5
333,dv1-7
334,bw5-4
335,dp1-5
336,ecard2-H7
337,pop3-5
338,pop7-6
339,si1-6
340,sm2-4
341,base4-5
342,col1-4
343,pop9-5
344,pl1-7
345,bw7-5
346,gym1-4
347,swsh35-6
348,ex7-6
349,dp3-7
350,det1-7
351,bw6-4
352,xy4-4
353,sm3-4
354,base6-5
355,dpp-DP05
356,ex8-5
357,xy7-6
358,pl1-8
359,bw7-6
360,ex11-7
361,ex3-6
362,base1-5
363,gym2-6
364,bw8-4
365,hgss2-5
366,dp4-5
367,sm12-5
368,col1-5
369,xy11-7
370,neo3-5
371,sm2-5
372,pop6-6
373,sm75-4
374,dp1-6
375,bw10-7
376,swsh4-3
377,ex9-7
378,basep-5
379,ex12-8
380,si1-7
381,bw9-4
382,ecard2-H8
383,xy4-5
384,bw11-6
385,dv1-8
386,mcd19-8
387,xy1-5
388,swsh1-5
389,neo4-6
390,bw4-5
391,sm1-4
392,sm115-7
393,dpp-DP06
394,base4-6
395,pop7-7
396,pl4-6
397,bw6-5
398,sm3-5
399,hgss4-8
400,xy5-7
401,base3-8
402,bw5-5
403,pop1-6
404,ru1-6
405,pl3-6
406,dp3-8
407,ex4-6
408,base5-5
409,ex10-5
410,sm5-6
411,pop3-6
412,base6-6
413,hgss1-8
414,det1-8
415,ecard3-H1
416,xy6-1
417,sm6-1
418,pl2-1
419,xy8-1
420,basep-6
421,swsh35-7
422,pop4-6
423,pop6-7
424,ex8-6
425,pop9-6
426,ex3-7
427,dp3-9
428,dv1-9
429,ex7-7
430,bw6-6
431,xy11-8
432,sm75-5
433,pl4-7
434,base1-6
435,ecard3-H2
436,sm3-6
437,swsh4-4
438,mcd19-9
439,ex13-5
440,ex14-4
441,xy10-5
442,xy2-8
443,base5-6
444,dpp-DP07
445,bw1-5
446,sm8-5
447,ecard2-H9
448,bw10-8
449,pop1-7
450,neo3-6
451,bw9-5
452,sm2-6
453,col1-6
454,gym2-7
455,hgss1-9
456,ex11-8
457,swsh1-6
458,sm6-2
459,bw7-7
460,det1-9
461,bw11-7
462,ex12-9
463,pl1-9
464,xy5-8
465,bw4-6
466,sm12-6
467,xy6-2
468,bw8-5
469,base4-7
470,sm115-8
471,hgss4-9
472,sm1-5
473,xy8-2
474,ex9-8
475,sm9-7
476,neo4-7
477,xy1-6
478,ex4-7
479,xy7-7
480,sm5-7
481,pl2-2
482,pop5-4
483,ex10-6
484,si1-8
485,dp4-6
486,gym1-5
487,ex2-1
488,sm7-1
489,ex6-1
490,dp2-1
491,hgss3-1
492,pop2-1
493,bw2-1
494,sma-SV1
495,bwp-BW01
496,hgss2-6
497,sm75-6
498,dp3-10
499,ru1-7
500,pop2-2
501,xy11-9
502,ex6-2
503,ex7-8
504,sm9-8
505,gym1-6
506,ex12-10
507,bw1-6
508,dp2-2
509,base6-7
510,swsh1-7
511,xy2-9
512,det1-10
513,pop6-8
514,bw7-8
515,xy8-3
516,pop3-7
517,base5-7
518,base4-8
519,ex11-9
520,bw4-7
521,neo4-8
522,pop1-8
523,mcd19-10
524,sm12-7
525,pl4-8
526,si1-9
527,ex9-9
528,hgss1-10
529,swsh35-8
530,ex8-7
531,xy1-7
532,sm115-9
533,xy4-6
534,sm7-2
535,ex4-8
536,pop4-7
537,pl2-3
538,ex2-2
539,swsh4-5
540,bw6-7
541,ex10-7
542,bw2-2
543,sma-SV2
544,pop7-8
545,sm1-6
546,ex13-6
547,base1-7
548,sm8-6
549,base3-9
550,sm3-7
551,pl1-10
552,gym2-8
553,dv1-10
554,xy7-8
555,ecard3-H3
556,bw11-8
557,ex14-5
558,xy6-3
559,col1-7
560,hgss3-2
561,ecard2-H10
562,sm5-8
563,sm2-7
564,ex5-1
565,swsh3-1
566,smp-SM01
567,xy0-1
568,swsh2-1
569,xy12-1
570,sm11-1
571,pop9-7
572,xy10-6
573,bw10-9
574,bw9-6
575,ex9-10
576,xy2-10
577,sm1-7
578,xy5-9
579,bwp-BW02
580,basep-7
581,dp1-7
582,swsh3-2
583,pl4-9
584,pop9-8
585,neo4-9
586,base5-8
587,base1-8
588,hgss3-3
589,sm7-3
590,xy11-10
591,pl2-4
592,ex13-7
593,ru1-8
594,pl1-11
595,ex12-11
596,ecard2-H11
597,ex10-8
598,hgss4-10
599,sm3-8
600,det1-11
601,sm115-10
602,ecard3-H4
603,pop7-9
604,sm8-7
605,xy8-4
606,swsh4-6
607,col1-8
608,sm2-8
609,ex6-3
610,xy1-8
611,ex8-8
612,bw9-7
613,bw4-8
614,sm5-9
615,base3-10
616,ex4-9
617,swsh35-9
618,xy12-2
619,sm9-9
620,xy10-7
621,sm12-8
622,xy6-4
623,ex2-3
624,pop2-3
625,swsh1-8
626,ex5-2
627,hgss2-7
628,pop1-9
629,sm75-7
630,hgss1-11
631,bw6-8
632,bw2-3
633,gym2-9
634,dp3-11
635,bw10-10
636,si1-10
637,sm11-2
638,bw11-9
639,xy4-7
640,xy0-2
641,neo3-7
642,ex11-10
643,gym1-7
644,xy7-9
645,ex7-9
646,dpp-DP08
647,pl3-7
648,swsh2-2
649,mcd19-11
650,neo2-1
651,ecard1-1
652,neo1-1
653,base2-1
654,ex1-1
655,xyp-XY01
656,sm10-1
657,bw5-6
658,sm35-1
659,pop8-1
660,pl1-12
661,ex6-4
662,pl4-10
663,base1-9
664,bw4-9
665,bw1-7
666,basep-8
667,xyp-XY02
668,bwp-BW03
669,neo2-2
670,bw7-9
671,mcd19-12
672,bw2-4
673,ex9-11
674,xy1-9
675,ex8-9
676,pl3-8
677,smp-SM02
678,pop2-4
679,dp1-8
680,sm115-11
681,sm6-2a
682,hgss3-4
683,xy5-10
684,sm75-8
685,swsh35-10
686,sm9-10
687,xy11-11
688,gym2-10
689,xy7-10
690,pop7-10
691,neo4-10
692,xy8-5
693,si1-11
694,xy10-8
695,ex4-10
696,col1-9
697,ex5-3
698,sm1-8
699,bw6-9
700,bw5-7
701,sm11-3
702,xy4-8
703,ex13-8
704,pop5-5
705,ex11-11
706,bw8-6
707,dv1-11
708,gym1-8
709,xy2-11
710,pop4-8
711,ex14-6
712,swsh1-9
713,bw11-10
714,pop8-2
715,base6-8
716,dp4-7
717,swsh2-3
718,base4-9
719,pop9-9
720,pop3-8
721,xy6-5
722,base2-2
723,ru1-9
724,ex1-2
725,neo3-8
726,dpp-DP09
727,sm35-2
728,ex3-8
729,bw10-11
730,ecard1-2
731,swsh3-3
732,ecard2-H12
733,neo1-2
734,bw9-8
735,dp2-3
736,sma-SV3
737,sm7-4
738,sm12-9
739,sm10-2
740,sm4-1
741,dc1-1
742,ex2-4
743,pl2-5
744,base5-9
745,sm3-9
746,xy9-1
747,hsp-HGSS01
748,hgss2-8
749,base6-9
750,pop4-9
751,base4-10
752,ru1-10
753,dpp-DP10
754,swsh2-4
755,ex6-5
756,gym1-9
757,ex14-7
758,ex3-9
759,pop8-3
760,sm1-9
761,bw11-11
762,xy5-11
763,xy6-6
764,sm6-3
765,dp1-9
766,ex8-10
767,si1-12
768,bw5-8
769,dv1-12
770,xy8-6
771,xy11-12
772,xy7-11
773,sm9-11
774,pop5-6
775,sm2-9
776,ex5-4
777,neo4-11
778,base3-11
779,hgss3-5
780,pl3-9
781,ex11-12
782,hgss1-12
783,xy10-9
784,ex10-9
785,pop6-9
786,ex12-12
787,sm75-9
788,pl1-13
789,ecard3-H5
790,hgss4-11
791,pop2-5
792,pop7-11
793,bw8-7
794,ex7-10
795,swsh35-11
796,dp4-8
797,col1-10
798,ex4-11
799,sm11-4
800,pop1-10
801,dp3-12
802,gym2-11
803,sm8-8
804,det1-12
805,sm5-10
806,smp-SM03
807,bw6-10
808,xy0-3
809,swshp-SWSH001
810,g1-1
811,xy3-1
812,bw3-1
813,ex16-1
814,dp6-1
815,bw9-9
816,sm115-12
817,swsh4-7
818,ex1-3
819,swsh1-10
820,sm1-10
821,pop3-9
822,neo3-9
823,xy2-12
824,base6-10
825,ex11-13
826,ex3-10
827,base5-10
828,hsp-HGSS02
829,basep-9
830,dp3-13
831,hgss2-9
832,pop9-10
833,col1-11
834,pl3-10
835,sm10-3
836,sm5-11
837,xy12-3
838,gym2-12
839,bw11-12
840,hgss4-12
841,bw3-2
842,si1-13
843,sm8-9
844,bw10-12
845,gym1-10
846,pl2-6
847,ex8-11
848,dp5-1
849,dp7-1
850,xy6-7
851,hgss2-10
852,xy11-13
853,ex2-5
854,neo1-3
855,pop8-4
856,swsh35-12
857,pop1-11
858,dp1-10
859,sm12-10
860,swsh3-4
861,sm2-10
862,sm11-5
863,pop4-10
864,ex4-12
865,xy0-4
866,xy5-12
867,base2-3
868,hgss3-6
869,dp2-4
870,sm4-2
871,base1-10
872,base4-11
873,pop6-10
874,ex14-8
875,ex5-5
876,sm35-3
877,sm7-5
878,dc1-2
879,pl2-7
880,xy4-9
881,dv1-13
882,xyp-XY03
883,mcd16-1
884,hgss1-13
885,g1-2
886,ex16-2
887,xy3-2
888,bw4-10
889,xy10-10
890,sm75-10
891,xy2-13
892,ex10-10
893,bw8-8
894,ex13-9
895,bw2-5
896,ecard3-H6
897,pop7-12
898,ex6-6
899,smp-SM04
900,ecard2-H13
901,pl4-11
902,sm6-4
903,bw1-8
904,dp4-9
905,bw7-10
906,pop5-7
907,pl3-11
908,bw10-13
909,pop2-6
910,sm1-11
911,swsh4-8
912,gym1-11
913,bw6-11
914,sm9-12
915,neo2-3
916,xy8-7
917,ex3-11
918,sma-SV4
919,ex1-4
920,swshp-SWSH002
921,col1-12
922,pop9-11
923,bw3-3
924,bwp-BW004
925,ex7-11
926,dp6-2
927,bw5-9
928,ex11-14
929,bw9-10
930,dp5-2
931,si1-14
932,bw11-13
933,base6-11
934,neo4-12
935,pl1-14
936,ex12-13
937,xy1-10
938,ecard2-H14
939,mcd16-2
940,dp3-14
941,sm7-6
942,ex6-7
943,xy10-11
944,bw4-11
945,sm2-11
946,sm10-4
947,neo3-10
948,sm11-6
949,dp7-2
950,xy9-2
951,base5-11
952,sm115-13
953,base2-4
954,sm5-12
955,pop3-10
956,xy7-12
957,base3-12
958,ex15-1
959,bw11-14
960,sm5-13
961,xy8-8
962,xy9-3
963,hgss1-14
964,base1-11
965,xy0-5
966,xy12-4
967,ex16-3
968,det1-13
969,ex14-9
970,dp2-5
971,xyp-XY04
972,bw8-9
973,pop7-13
974,pop4-11
975,sm75-11
976,ru1-11
977,dpp-DP11
978,sm12-11
979,smp-SM05
980,sm4-3
981,dv1-14
982,dp1-11
983,pl2-8
984,swsh35-13
985,bw1-9
986,xy3-3
987,xy6-8
988,ecard1-3
989,ex10-11
990,neo1-4
991,pop8-5
992,hgss2-11
993,hsp-HGSS03
994,ecard3-H7
995,swsh1-11
996,sm8-10
997,xy4-10
998,gym2-13
999,dc1-3
1000,base6-12
1001,ex2-6
1002,sm6-5
1003,ex12-14
1004,ex9-12
1005,xy2-14
1006,ex15-2
1007,ex4-13
1008,hgss4-13
1009,dp5-3
1010,sm35-4
1011,base3-13
1012,pl4-12
1013,pop6-11
1014,hgss3-7
1015,gym1-12
1016,bw2-6
1017,sm3-10
1018,g1-3
1019,base4-12
1020,np-1
1021,ex15-3
1022,pl3-12
1023,ex12-15
1024,bw6-12
1025,dpp-DP12
1026,bw9-11
1027,neo4-13
1028,dp3-15
1029,swsh4-9
1030,ex11-15
1031,ex7-12
1032,hgss1-15
1033,xy11-14
1034,ecard3-H8
1035,ex3-12
1036,bw5-10
1037,ex13-10
1038,col1-13
1039,neo2-4
1040,ru1-12
1041,neo3-11
1042,bw8-10
1043,sm115-14
1044,xy10-12
1045,bw10-14
1046,ex5-6
1047,pop3-11
1048,hgss4-14
1049,bwp-BW005
1050,bw7-11
1051,sm10-5
1052,sm6-6
1053,bw3-4
1054,bw11-15
1055,sm12-12
1056,sm75-12
1057,dp1-12
1058,xy1-11
1059,pop1-12
1060,ecard1-4
1061,dp6-3
1062,sm5-14
1063,base6-13
1064,bw4-12
1065,swsh35-14
1066,dp5-4
1067,xy7-13
1068,xy12-5
1069,dp7-3
1070,si1-15
1071,sm1-12
1072,mcd16-3
1073,hgss3-8
1074,gym2-14
1075,bw1-10
1076,ex10-12
1077,ecard2-H15
1078,base1-12
1079,ex2-7
1080,ex6-8
1081,sm4-4
1082,base2-5
1083,sm9-13
1084,sm3-11
1085,base3-14
1086,g1-4
1087,ex14-10
1088,xy6-9
1089,swsh2-5
1090,np-2
1091,xy2-15
1092,xy8-9
1093,sm7-7
1094,gym1-13
1095,dv1-15
1096,xy0-6
1097,pop5-8
1098,ex9-13
1099,sm2-12
1100,swshp-SWSH003
1101,base4-13
1102,ex16-4
1103,xy3-4
1104,ex1-5
1105,swsh3-5
1106,ecard1-5
1107,ex6-9
1108,hsp-HGSS04
1109,xy9-4
1110,pop7-14
1111,hgss2-12
1112,xyp-XY05
1113,det1-14
1114,pl1-15
1115,ex8-12
1116,pop8-6
1117,sm35-5
1118,sm2-13
1119,bw6-13
1120,dp4-10
1121,xy5-13
1122,sma-SV5
1123,smp-SM06
1124,pl2-9
1125,pl4-13
1126,pop2-7
1127,pop9-12
1128,xy10-13
1129,col1-14
1130,sm115-15
1131,dp7-4
1132,sm9-14
1133,xy2-16
1134,hgss4-15
1135,swsh1-12
1136,basep-10
1137,sm5-15
1138,base5-12
1139,np-3
1140,neo4-14
1141,pop6-12
1142,sm6-7
1143,swsh3-6
1144,dv1-16
1145,dp1-13
1146,ex7-13
1147,dp2-6
1148,xy0-7
1149,bw7-12
1150,bw2-7
1151,bwp-BW06
1152,ex5-7
1153,xy3-5
1154,swsh4-10
1155,ecard3-H9
1156,ecard2-H16
1157,si1-16
1158,ex16-5
1159,ru1-13
1160,neo2-5
1161,bw9-12
1162,base2-6
1163,bw10-15
1164,dc1-4
1165,gym2-15
1166,sm8-11
1167,base4-14
1168,sm4-5
1169,mcd16-4
1170,pop4-12
1171,xy11-15
1172,pl3-13
1173,base1-13
1174,base3-15
1175,bw4-13
1176,ex13-11
1177,ex10-13
1178,ex15-4
1179,xy6-10
1180,swsh2-6
1181,pop1-13
1182,ex9-14
1183,bw3-5
1184,xy1-12
1185,bw1-11
1186,sm7-8
1187,ex1-6
1188,dpp-DP13
1189,dp3-16
1190,hgss3-9
1191,swsh35-15
1192,bw11-16
1193,xy12-6
1194,sm10-6
1195,sm12-13
1196,neo1-5
1197,xy4-11
1198,xy7-14
1199,ex14-11
1200,hsp-HGSS05
1201,bw6-14
1202,bwp-BW07
1203,np-4
1204,dp7-5
1205,dp3-17
1206,ex1-7
1207,bw8-11
1208,swshp-SWSH004
1209,pl4-14
1210,det1-15
1211,ex11-16
1212,pop5-9
1213,base2-7
1214,base3-16
1215,g1-5
1216,pl1-16
1217,swsh2-7
1218,ex10-14
1219,sm12-14
1220,ex12-16
1221,dpp-DP14
1222,sm2-14
1223,hgss3-10
1224,ex7-14
1225,ecard2-H17
1226,pop9-13
1227,sm5-16
1228,ru1-14
1229,neo4-15
1230,swsh3-7
1231,hgss4-16
1232,basep-11
1233,bw10-16
1234,bw11-17
1235,pop6-13
1236,xy5-14
1237,sm6-8
1238,ex5-8
1239,sma-SV6
1240,xy8-10
1241,ex2-8
1242,sm4-6
1243,sm8-12
1244,dp6-4
1245,sm115-16
1246,xy4-12
1247,neo3-12
1248,gym2-16
1249,dp5-5
1250,bw9-13
1251,bw3-6
1252,dp4-11
1253,dp2-7
1254,base4-15
1255,ex4-14
1256,ex13-12
1257,bw5-11
1258,pop1-14
1259,sm7-9
1260,pl3-14
1261,ex6-10
1262,col1-15
1263,xy6-11
1264,hgss2-13
1265,ex9-15
1266,base6-14
1267,smp-SM07
1268,neo1-6
1269,xy11-16
1270,pop8-7
1271,bw7-13
1272,sm10-7
1273,ex3-13
1274,dc1-5
1275,xy9-5
1276,xy0-8
1277,xy2-17
1278,sm1-13
1279,ecard1-6
1280,bw4-14
1281,si1-17
1282,xy1-13
1283,xy10-14
1284,ex8-13
1285,swsh4-11
1286,sm3-12
1287,pl2-10
1288,base1-14
1289,pop7-15
1290,gym1-14
1291,dp1-14
1292,sm9-15
1293,swsh1-13
1294,ecard3-H10
1295,neo3-13
1296,hgss4-17
1297,sma-SV7
1298,pop9-14
1299,sm6-9
1300,bw3-7
1301,sm115-17
1302,bw8-12
1303,pop5-10
1304,pop1-15
1305,neo2-6
1306,xy7-15
1307,ecard3-H11
1308,ex5-9
1309,dp3-18
1310,dp1-15
1311,ex4-15
1312,bw7-14
1313,sm7-10
1314,si1-18
1315,pl4-15
1316,xy12-7
1317,ex2-9
1318,pl2-11
1319,bw11-18
1320,sm75-13
1321,xy1-14
1322,dpp-DP15
1323,swsh35-16
1324,dp5-6
1325,sm4-7
1326,xyp-XY06
1327,pop3-12
1328,ru1-15
1329,ex12-17
1330,pop2-8
1331,ecard1-7
1332,xy10-15
1333,ex11-17
1334,xy0-9
1335,bw4-15
1336,hgss3-11
1337,g1-6
1338,swsh4-12
1339,pop4-13
1340,swshp-SWSH005
1341,xy9-6
1342,swsh3-8
1343,pop7-16
1344,hgss2-14
1345,dc1-6
1346,ex13-13
1347,ex14-12
1348,pop6-14
1349,pl1-17
1350,dv1-17
1351,hsp-HGSS06
1352,ex9-16
1353,base1-15
1354,bw10-17
1355,base4-16
1356,dp7-6
1357,det1-16
1358,ex6-11
1359,pl3-15
1360,xy4-13
1361,hgss1-16
1362,ex3-14
1363,sm10-8
1364,xy6-12
1365,bw5-12
1366,np-5
1367,sm8-13
1368,smp-SM08
1369,ecard2-H18
1370,ex15-5
1371,bw6-15
1372,dp4-12
1373,xy11-17
1374,bw1-12
1375,ex8-14
1376,ex10-15
1377,gym2-17
1378,swsh1-14
1379,xy5-15
1380,sm12-15
1381,pop8-8
1382,dp6-5
1383,mcd16-5
1384,ex7-15
1385,base6-15
1386,swsh2-8
1387,bwp-BW08
1388,sm9-16
1389,bw9-14
1390,sm11-7
1391,xy2-18
1392,neo1-7
1393,sm1-14
1394,xy7-16
1395,xy12-8
1396,sm3-13
1397,dp6-6
1398,swsh2-9
1399,det1-17
1400,hgss3-12
1401,swsh1-15
1402,g1-7
1403,pl4-16
1404,xy8-11
1405,ex3-15
1406,xy3-6
1407,bw2-8
1408,dp7-7
1409,pop9-15
1410,bw8-13
1411,pop3-13
1412,ex16-6
1413,col1-16
1414,xy10-16
1415,sm5-17
1416,bw10-18
1417,dp2-8
1418,pop1-16
1419,basep-12
1420,sm11-8
1421,dv1-18
1422,ex9-17
1423,ecard2-H19
1424,sm4-8
1425,hgss4-18
1426,dp5-7
1427,base5-13
1428,swshp-SWSH006
1429,dp3-19
1430,sm6-10
1431,pop5-11
1432,neo1-8
1433,xy2-19
1434,bw4-16
1435,pop7-17
1436,ex13-14
1437,xy1-15
1438,gym1-15
1439,sm35-6
1440,ex11-18
1441,sm1-15
1442,sm8-14
1443,dp1-16
1444,dc1-7
1445,sm2-15
1446,dpp-DP16
1447,pop2-9
1448,sm75-14
1449,mcd16-6
1450,base4-17
1451,xy0-10
1452,bw7-15
1453,sma-SV8
1454,hgss2-15
1455,sm10-9
1456,gym2-18
1457,ex10-16
1458,sm115-18
1459,ex1-8
1460,base6-16
1461,neo2-7
1462,bw3-8
1463,ex15-6
1464,xy9-7
1465,xy11-18
1466,xy4-14
1467,pl1-18
1468,sm7-10a
1469,sm9-17
1470,base2-8
1471,neo3-14
1472,pop8-9
1473,pop4-14
1474,ex5-10
1475,ex12-18
1476,ecard3-H12
1477,base1-16
1478,ex7-16
1479,smp-SM09
1480,swsh35-17
1481,pl2-12
1482,hgss1-17
1483,xy5-16
1484,base3-17
1485,pop6-15
1486,hsp-HGSS07
1487,ex4-16
1488,ex14-13
1489,bw6-16
1490,swsh3-9
1491,bw1-13
1492,hgss1-18
1493,bw2-9
1494,xy12-9
1495,ex3-16
1496,mcd16-7
1497,xy2-20
1498,base1-17
1499,sm75-15
1500,base3-18
1501,pl3-16
1502,gym1-16
1503,sm9-18
1504,swsh2-10
1505,sm11-9
1506,ex13-15
1507,neo3-15
1508,sm6-11
1509,xy11-19
1510,pl2-13
1511,xy7-17
1512,swsh35-18
1513,base2-9
1514,ex1-9
1515,dc1-8
1516,ex14-14
1517,dp4-13
1518,swsh1-16
1519,ecard3-H13
1520,ex8-15
1521,base4-18
1522,ecard2-H20
1523,swshp-SWSH007
1524,hgss2-16
1525,col1-17
1526,sm35-7
1527,hgss3-13
1528,sm2-16
1529,xy8-12
1530,hsp-HGSS08
1531,sma-SV9
1532,pop9-16
1533,xy6-13
1534,neo2-8
1535,dp7-8
1536,pop6-16
1537,bw7-16
1538,smp-SM10
1539,pop3-14
1540,neo1-9
1541,basep-13
1542,dp3-20
1543,dpp-DP17
1544,sm4-9
1545,hgss4-19
1546,ex6-12
1547,xy1-16
1548,xy9-8
1549,ex16-7
1550,bwp-BW09
1551,pop8-10
1552,sm7-11
1553,sm3-14
1554,pl1-19
1555,np-6
1556,bw3-9
1557,dp6-7
1558,bw1-14
1559,ex2-10
1560,det1-18
1561,dp2-9
1562,swsh4-13
1563,ecard1-8
1564,ex7-17
1565,bw4-17
1566,ex15-7
1567,dp5-8
1568,ex12-19
1569,neo4-16
1570,pop2-10
1571,gym2-19
1572,xy3-7
1573,sm12-16
1574,xy4-15
1575,ru1-16
1576,xyp-XY07
1577,bw11-19
1578,pop5-12
1579,bw10-19
1580,base5-14
1581,ex11-19
1582,sm5-18
1583,sm1-16
1584,bw8-14
1585,ex4-17
1586,pop4-15
1587,bw6-17
1588,dv1-19
1589,xy0-11
1590,ex15-8
1591,bw3-10
1592,pop4-16
1593,swsh3-10
1594,neo4-17
1595,basep-14
1596,base6-17
1597,ex10-17
1598,base5-15
1599,sm10-10
1600,ex9-18
1601,dp3-21
1602,pop3-15
1603,bw5-13
1604,bw9-15
1605,swsh2-11
1606,xyp-XY08
1607,g1-8
1608,sm9-19
1609,base2-10
1610,dp4-14
1611,base3-19
1612,pop9-17
1613,xy5-17
1614,ex12-20
1615,swshp-SWSH008
1616,sm8-15
1617,sm2-17
1618,sm7-12
1619,pop1-17
1620,swsh4-14
1621,sm12-17
1622,pop6-17
1623,ex3-17
1624,dp6-8
1625,pop2-11
1626,bw8-15
1627,col1-18
1628,pop5-13
1629,dv1-20
1630,np-7
1631,xy10-17
1632,dp1-17
1633,hgss3-14
1634,mcd16-8
1635,smp-SM11
1636,xy7-18
1637,dpp-DP18
1638,ex7-18
1639,xy6-14
1640,bw6-18
1641,neo3-16
1642,bw4-18
1643,dp5-9
